Start Time: 12/07/16 11:26:41
sensor,value
Acceleration_x,0.06591796875
Acceleration_y,0.98486328125
Acceleration_z,1.46337890625
Gyro_x,-2.0
Gyro_y,-2.0
Gyro_z,-2.0
Acceleration_x,0.0859375
Acceleration_y,1.0166015625
Acceleration_z,1.51123046875
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.0859375
Acceleration_y,1.0166015625
Acceleration_z,1.51123046875
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.0859375
Acceleration_y,1.0166015625
Acceleration_z,1.51123046875
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.0859375
Acceleration_y,1.0166015625
Acceleration_z,1.51123046875
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.1416015625
Acceleration_y,1.0048828125
Acceleration_z,1.578125
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.1416015625
Acceleration_y,1.0048828125
Acceleration_z,1.578125
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.1416015625
Acceleration_y,1.0048828125
Acceleration_z,1.578125
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.1416015625
Acceleration_y,1.0048828125
Acceleration_z,1.578125
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.0849609375
Acceleration_y,1.0087890625
Acceleration_z,1.5322265625
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.0849609375
Acceleration_y,1.0087890625
Acceleration_z,1.5322265625
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.0849609375
Acceleration_y,1.0087890625
Acceleration_z,1.5322265625
Gyro_x,-1.0
Gyro_y,-1.0
Gyro_z,-1.0
Acceleration_x,0.0849609375
Acceleration_y,1.0087890625
Acceleration_z,1.5322265625
Gyro_x,-1.0
Gyro_y,-1.0
